ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,n_vol,n_amount
600559.SH,20140716,23,23.2,22.6,22.79,-0.31,-1.34,21939.94,50264.505,23.274,0.275753762,110.8419745,0.41851725,-0.12873632,-0.176571524
600559.SH,20140717,22.54,22.83,21.78,22.54,-0.25,-1.1,13141.55,29263.132,23.274,0.344253115,72.38343581,0.696706386,-0.170017292,-0.23345115
600559.SH,20140718,22.3,23.97,22.23,23.8,1.26,5.59,41740.74,98239.02,23.274,0.494510408,79.69276094,0.494598271,-0.035833385,-0.046638474
600559.SH,20140721,24,24.2,23.5,24.14,0.34,1.43,22957.95,55073.874,23.274,0.633720419,102.7285396,0.9928,-0.123959942,-0.163545942
600559.SH,20140728,25.5,26.2,24.81,25.55,-0.14,-0.55,25183.78,64261.126,25.054,1.157017048,92.37773993,0.667617082,-0.113516619,-0.138663405
600559.SH,20140729,25.35,25.35,24.5,24.95,-0.6,-2.35,32513.46,80747.06,24.762,1.154902065,73.42598474,0.908943759,-0.079126656,-0.094013288
600559.SH,20140730,24.9,24.9,24,24.5,-0.45,-1.8,25522.32,62386.863,24.762,1.104186313,49.91530683,0.580138694,-0.111928231,-0.143739614
600559.SH,20140731,24.4,25.45,24.38,25.31,0.81,3.31,27111.76,68010.311,24.762,1.116483815,50.04553499,0.477242735,-0.104470773,-0.1285092
600559.SH,20140801,25.1,25.4,24.27,24.3,-1.01,-3.99,19809.15,48892.797,24.762,1.032825347,31.12687657,0.556006234,-0.138733727,-0.180286626
600559.SH,20140804,24.11,24.83,24.11,24.75,0.45,1.85,21803.14,53062.27,24.762,0.99140831,34.14125607,0.713044287,-0.129378169,-0.168994123
600559.SH,20140805,24.9,24.9,24.38,24.71,-0.04,-0.16,11644.05,28607.751,24.526,0.94447008,26.33004444,0.368190514,-0.177043379,-0.235226169
600559.SH,20140806,24.59,24.7,24.13,24.5,-0.21,-0.85,8730.96,21305.577,24.526,0.880179786,27.26907862,0.455755595,-0.190711241,-0.255003205
